0x807110,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Wind Level,Thunder Level,Def Promo Gain,Res Promo Gain,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x1000002,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
Lord,_Lord,Desc_Lord,0x1,0x2,0x0,0x0,0x0,0x1,30,5,5,5,5,0,0,6,80,20,20,20,20,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,UnlockEphraim|IsLord,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,SeliphAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Knight Lord (Seliph),_KntLord,Desc_KntLord,0x2,0x1,0x1,0x0,0x0,0x2,40,10,7,7,7,3,0,9,80,25,22,22,22,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,0,3,IsPromoted|UnlockEphraim|IsLord|MountedAid|HasCanto|HorseIcon,BRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,SeliphProAnims|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType|SwordType
Knight Lord (Sigurd),_KntLord,Desc_KntLord,0x3,0x3,0x2,0x0,0x0,0x2,40,10,7,7,7,3,0,9,80,25,22,22,22,18,20,3,100,30,30,30,30,10,0,0,5,NoRank,NoRank,0,3,IsPromoted|UnlockEirika|IsLord|MountedAid|HasCanto|HorseIcon,BRank,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,SigurdAnims|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType|SwordType
Prince,_Prince,Desc_Prince,0x4,0x6,0x3,0x0,0x0,0x1,30,8,7,6,7,3,0,6,80,23,22,21,22,18,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,SwordmasterUnlock,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,LeifAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Princess,_Princess,Desc_Princess,0x5,0x7,0x4,0x0,0x0,0x0,26,5,5,8,5,7,0,6,80,20,20,23,20,22,20,3,100,20,30,30,30,20,0,0,0,NoRank,NoRank,0,0,SwordmasterUnlock,BRank,NoRank,NoRank,NoRank,CRank,NoRank,NoRank,NoRank,LachesisAnims|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Master Knight (M),_MastKnt,Desc_MastKnt,0x6,0x4,0x5,0x0,0x11D,0x20,40,12,12,12,12,7,0,9,80,27,27,27,27,22,20,3,100,30,30,30,30,10,0,0,4,ARank,ARank,0,4,IsPromoted|MountedAid|HasCanto|HorseIcon,ARank,ARank,ARank,ARank,ARank,ARank,CRank,NoRank,0x88af018,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Master Knight (F),_MastKnt,Desc_MastKnt,0x7,0x5,0x6,0x0,0x11D,0x0,40,12,12,12,12,7,0,9,80,27,27,27,27,22,20,3,100,30,30,30,30,10,0,0,7,ARank,ARank,0,0,IsPromoted|MountedAid|HasCanto|HorseIcon,ARank,ARank,ARank,ARank,ARank,ARank,CRank,NoRank,0x88af028,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Myrmidon (M),_Myrm,Desc_Myrm,0x8,0xc,0x7,0x0,0x72,0x5,30,7,10,10,5,0,0,6,80,22,25,25,20,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,SwordmasterUnlock,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af038,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
Myrmidon (F),_Myrm,Desc_Myrm,0x9,0xd,0x8,0x0,0x73,0x5,30,7,10,10,5,0,0,6,80,22,25,25,20,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,SwordmasterUnlock,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af048,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
Mercenary (M),_Merc,Desc_Merc,0xa,0xe,0x9,0x0,0x74,0x3,30,7,10,10,5,0,0,6,80,22,25,25,20,15,20,3,100,30,30,30,30,10,0,0,0,NoRank,NoRank,0,0,0x0,ARank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,0x88af054,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
